geo_code,dataset_slug,dataset_name,n_obs,first_year,last_year,slope_per_year,slope_per_decade,residual_std,holdout_linear_mae,holdout_naive_mae,backtest_beats_naive,projected_2030,projected_2050
AS,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00034416,0.00344156,0.19240066,0.28114905,0.16666667,False,0.30626623,0.31314935
AS,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,7.022e-05,0.00070218,0.20705032,0.36149062,0.43333333,True,0.29626788,0.29767224
AS,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.06194496,0.61944958,6.36273043,5.39,16.56666667,True,10.03871415,11.27761332
AS,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00221774,0.02217742,0.05420961,0.02599891,0.0,False,0.10040323,0.14475806
CK,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00034845,0.00348448,0.1990091,0.28501174,0.36666667,True,0.302686,0.30965496
CK,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00032622,0.00326216,0.19543604,0.25258277,0.33333333,True,0.29949318,0.3060175
CK,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.03171832,-0.31718316,5.5340145,1.46373737,2.73333333,True,5.69699352,5.0626272
CK,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00383065,0.03830645,0.03731648,0.00311987,0.0,False,0.12943548,0.20604839
FJ,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00036595,0.00365948,0.24145279,0.26131757,0.5,True,0.35828197,0.36560092
FJ,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00048723,0.00487233,0.24953252,0.28089627,0.46666667,True,0.37404634,0.383791
FJ,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.00447502,-0.04475023,6.90044917,7.47147992,8.23333333,True,9.60661425,9.51711378
FJ,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00415323,0.04153226,0.04315009,0.04501916,0.03333333,False,0.13653226,0.21959677
FM,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00085263,0.0085263,0.21247219,0.46210837,0.2,False,0.37375468,0.39080729
FM,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00096632,0.00966322,0.20988021,0.45461709,0.1,False,0.38143022,0.40075666
FM,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.07213228,-0.72132285,10.49140597,5.85995772,8.0,True,9.186679,7.7440333
FM,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00310484,0.03104839,0.04547212,0.03500274,0.03333333,False,0.13927419,0.20137097
GU,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00070185,0.00701849,0.21796022,0.36289499,0.13333333,False,0.36548921,0.37952619
GU,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00066421,0.00664209,0.21694745,0.40206847,0.1,False,0.36200748,0.37529166
GU,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.02997225,-0.29972248,5.92118471,4.25343434,7.56666667,True,7.65439408,7.05494912
GU,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00217742,0.02177419,0.05848951,0.05667761,0.03333333,False,0.11241935,0.15596774
KI,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,-0.00022958,-0.00229584,0.32437272,0.32306823,0.26666667,False,0.43558166,0.43098998
KI,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.0006641,0.00664099,0.3359616,0.36477975,0.33333333,False,0.51256549,0.52584746
KI,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.11307817,1.13078168,11.77075433,6.96656566,13.46666667,True,19.58746531,21.84902868
KI,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00310484,0.03104839,0.04295631,0.01217843,0.0,False,0.11669355,0.17879032
MH,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00014539,0.00145389,0.21036211,0.35515449,0.33333333,False,0.30265298,0.30556075
MH,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,3.643e-05,0.0003643,0.22978653,0.29785474,0.4,True,0.32211974,0.32284834
MH,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.0502197,-0.50219704,6.43656114,3.09511628,3.23333333,True,6.89172063,5.88732655
MH,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00294355,0.02943548,0.04366261,0.02041598,0.0,False,0.10991935,0.16879032
MP,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00026656,0.00266564,0.22205334,0.41116019,0.13333333,False,0.31783898,0.32317026
