name,slug,pillar,story_role,status,row_count,geography_count,year_start,year_end,value_count,missing_value_count,missing_value_pct,geography_column,time_column,value_column,geography_codes,caveat_notes,candidate,units,denominator,grain,grain_columns,source_semantics,licence,processing_decision,decision_reason,official_url,sdmx_csv_api_url,profiled_at_utc
Mean sea surface temperature anomalies,mean-sea-surface-temperature-anomalies,climate_signal,climate_exposure,ok,3696,21,1850,2025,3696,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PW SB TK TO TV VU WF WS,,False,CELSIUS,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.SST_ANOM.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.SST_ANOM.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Mean surface temperature anomalies,mean-surface-temperature-anomalies,climate_signal,climate_exposure,ok,3872,22,1850,2025,3872,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PN PW SB TK TO TV VU WF WS,,False,CELSIUS,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ST_ANOM.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ST_ANOM.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Rainfall anomalies,rainfall-anomalies,climate_signal,climate_exposure,ok,1034,22,1979,2025,1034,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PN PW SB TK TO TV VU WF WS,,False,MM,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.RAIN_ANOM.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.RAIN_ANOM.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Sea level anomalies,sea-level-anomalies,climate_signal,climate_exposure,ok,651,21,1993,2023,651,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PW SB TK TO TV VU WF WS,,False,METER,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.SEA_LVL.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.SEA_LVL.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Number of directly affected persons attributed to disasters,number-of-directly-affected-persons-attributed-to-disasters,observed_stress,impact,ok,174,21,2005,2023,174,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PW SB TK TO TV VU WF WS,,False,N,not stated,not stated,DATAFLOW | FREQ | INDICATOR | GEO_PICT | SEX | AGE | URBANIZATION | INCOME | EDUCATION | OCCUPATION | COMPOSITE_BREAKDOWN | DISABILITY | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE | NATURE | DATA_SOURCE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=ds%3ASPC2&df[id]=DF_SDG_11&df[ag]=SPC&df[vs]=3.0&dq=A.VC_DSR_AFFCT.........&pd=,&to[TIME_PERIOD]=false&lb=bt",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_SDG_11/3.0/A.VC_DSR_AFFCT.........?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Meteorological monitoring network,meteorological-monitoring-network,adaptation_capacity,climate_exposure,ok,1650,18,1889,2026,1650,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,CK FJ FM KI MH NC NR NU PF PG PN PW SB TK TO TV VU WS,,False,N,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.METEO_MONITOR_NET.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.METEO_MONITOR_NET.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Power generation,power-generation,adaptation_capacity,response_or_capacity,ok,432,18,2000,2023,432,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,CK FJ FM GU KI MH NC NR NU PF PG PW SB TK TO TV VU WS,,False,GWH,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.POWER_GEN.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.POWER_GEN.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,adaptation_capacity,response_or_capacity,ok,1563,22,1903,2026,1563,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PN PW SB TK TO TV VU WF WS,,False,N,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.FISH_MNGT_MULT_BILAT_ARGMT.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.FISH_MNGT_MULT_BILAT_ARGMT.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Greenhouse gas emissions per capita,greenhouse-gas-emissions-per-capita,responsibility_context,pressure,ok,935,17,1970,2024,935,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS FJ FM GU KI MH MP NC NR PF PG PW SB TO TV VU WS,,False,TON,not stated,not stated,DATAFLOW | FREQ | CLIMATE_CHANGE_INDICATORS | GEO_PICT | TIME_PERIOD | UNIT_MEASURE | REPORTING_TYPE,not stated,not stated,not stated,not stated,"https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.GHG_EMI_CAPITA.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.GHG_EMI_CAPITA.?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
Population growth,population-growth,candidate_context,context,ok,792,22,1990,2025,792,0,0.0,GEO_PICT,TIME_PERIOD,OBS_VALUE,AS CK FJ FM GU KI MH MP NC NR NU PF PG PN PW SB TK TO TV VU WF WS,,True,PERCENT,Prior-period population is implied by the growth-rate definition; denominator values are not included in the filtered response.,One row per geography and year for the filtered population-growth indicator and fixed disaggregation.,DATAFLOW | FREQ | GEO_PICT | INDICATOR | SEX | AGE | URBANIZATION | DISABILITY | COMPOSITE_BREAKDOWN | TIME_PERIOD | UNIT_MEASURE | DATA_SOURCE,Annual population growth rate; it is not population size.,not stated in reviewed source metadata,accept_for_processing,Broad geography and annual coverage support descriptive context once the rate-versus-size distinction is preserved.,"https://stats.pacificdata.org/vis?tm=population%20growth&pg=0&snb=11&df[ds]=ds%3ASPC2&df[id]=DF_NMDI_POP&df[ag]=SPC&df[vs]=1.0&dq=A..NMDI0002._T._T._T..&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_NMDI_POP/1.0/A..NMDI0002._T._T._T..?dimensionAtObservation=AllDimensions,2026-07-13T00:03:21Z
