geo_code,dataset_count,row_count,first_year,last_year,years_observed,coverage_tier,data_desert_flag,datasets
AS,11,675,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters population-growth proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
CK,12,716,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
FJ,14,826,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
FM,14,781,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
GU,11,671,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
KI,14,775,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
MH,14,780,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
MP,11,649,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters population-growth proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
NC,14,787,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
NR,13,853,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
NU,12,770,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
PF,14,771,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
PG,14,790,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
PN,6,475,1850,2026,177,moderate,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-surface-temperature-anomalies meteorological-monitoring-network population-growth rainfall-anomalies
PW,14,762,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
SB,14,794,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
TK,10,584,1850,2026,177,broad,False,climate-altering-land-cover-index fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation rainfall-anomalies sea-level-anomalies
TO,14,848,1850,2026,177,broad,False,climate-altering-land-cover-index direct-disaster-economic-loss fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters population-growth power-generation proportion-of-population-using-safely-managed-drinking-water-services rainfall-anomalies renewable-energy-share-in-the-total-final-energy-consumption sea-level-anomalies
