geo_code,dataset_slug,dataset_name,pillar,latest_year,latest_value,scoring_value,unit,indicator_score,indicator_weight,source_row_hash,rank_within_indicator,score_percentile,score_percentile_group,score_input_role,dataset_observation_count,high_outlier_flag,low_outlier_flag,outlier_direction,outlier_label,outlier_method,outlier_q1,outlier_q3,outlier_iqr,outlier_lower_fence,outlier_upper_fence,outlier_caveat
PG,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,93.0,93.0,N,100.0,1.0,5087176834d305360470c11529a68b80a17c69f64f17a0c5753df2e1b056f631,1,1.0,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
SB,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,90.0,90.0,N,95.45454545454544,1.0,74b5c6f40bf6f1da87d2cd31e507770f7bfe4cf1e5618abac98558a994b6031b,2,0.9545,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
TO,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,77.0,77.0,N,90.9090909090909,1.0,c5b5a8e999ab5a2af5b815304caa00478dc5fc10e709a8a10d3e5f48d1472c48,3,0.9091,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
FM,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,73.0,73.0,N,86.36363636363636,1.0,d3ea94750471841f9f31696d31dad982bf184a61b58d2b3ef3731452083963f3,4,0.8636,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
KI,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,71.0,71.0,N,81.81818181818183,1.0,b457f0b858e5f2b6269a220260dc6d15d5a0d65bf9b6f868520d989c6ff866c9,5,0.8182,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
FJ,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,68.0,68.0,N,75.0,1.0,48a8093b74632cd524e90d81746b73525fbc70aec6ac634dd3d1f1e040858cab,6,0.7727,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
VU,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,68.0,68.0,N,75.0,1.0,f603b48f4a2c048e84cc8df533b2c7992f8b91dc236f476154c46d4758262f5b,6,0.7727,top_quartile,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
MH,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,65.0,65.0,N,68.18181818181817,1.0,1f46b8b11713bb3663645c879327b4cf988bb24a444c32cfed22cc8d3c7f3471,8,0.6818,upper_middle,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
CK,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,63.0,63.0,N,61.36363636363637,1.0,c2a350ac4fd433b2d7a3f212cb81468ee80fd0a6023341b68ea7eb88b7d04216,9,0.6364,upper_middle,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
PW,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,2026,63.0,63.0,N,61.36363636363637,1.0,7e313806f7bfa23360b3f9726045d744a894eb9f37f9453152939c312eb56bea,9,0.6364,upper_middle,score_input,22,False,False,not_outlier,not flagged,dataset_iqr_1_5x_on_scoring_value,28.75,68.0,39.25,-30.125,126.875,"Outliers are flagged within each dataset using 1.5x IQR fences on scoring_value; units and denominators differ across datasets, so compare within an indicator rather than across indicators."
