geo_code,adaptation_gap_score,climate_pressure_score,capacity_score,latest_monitoring_year,monitoring_count,monitoring_gap_label,monitoring_story_flag
AS,84.9656,49.675324675324674,18.181818181818183,,0.0,high gap + low monitoring,True
CK,28.9709,30.16774891774892,42.67676767676768,2026.0,2.0,low monitoring,False
FJ,10.4878,59.07738095238095,86.11111111111113,2026.0,8.0,monitoring less urgent,False
FM,58.355,76.4069264069264,65.82491582491582,2026.0,3.0,monitoring less urgent,False
GU,19.8699,38.41991341991342,58.08080808080808,,0.0,low monitoring,False
KI,31.0979,47.91666666666666,58.754208754208754,2026.0,4.0,monitoring less urgent,False
MH,65.9545,67.05898268398269,50.5050505050505,2026.0,2.0,low monitoring,False
MP,51.1209,45.80627705627706,40.909090909090914,,0.0,low monitoring,False
NC,12.7219,47.28084415584416,72.55892255892256,2026.0,4.0,monitoring less urgent,False
NR,88.9403,61.5530303030303,26.93602693602693,2026.0,0.0,high gap + low monitoring,True
NU,63.2479,32.44047619047619,18.013468013468014,2026.0,0.0,low monitoring,False
PF,0.0,29.70779220779221,64.98316498316498,2026.0,7.0,monitoring less urgent,False
PG,23.5272,76.73160173160173,93.51851851851852,2026.0,6.0,monitoring less urgent,False
PN,100.0,53.40909090909091,10.1010101010101,2026.0,0.0,high gap + low monitoring,True
PW,62.6435,64.96212121212122,51.01010101010101,2026.0,1.0,low monitoring,False
SB,58.0643,81.06060606060606,70.70707070707071,2026.0,3.0,monitoring less urgent,False
TK,55.7364,23.254870129870127,14.73063973063973,2026.0,1.0,low monitoring,False
TO,26.249,52.69209956709956,67.34006734006734,2026.0,4.0,monitoring less urgent,False
TV,77.7085,66.53138528138527,40.74074074074074,2026.0,3.0,high gap + visible monitoring,False
VU,38.3856,65.25974025974025,70.37037037037037,2026.0,6.0,monitoring less urgent,False
WF,82.5555,34.14502164502164,4.545454545454546,,0.0,high gap + low monitoring,True
WS,36.974,48.99891774891775,55.21885521885522,2026.0,2.0,low monitoring,False
