geo_code,target_year,scenario,reference_year,current_score,projected_score,score_change,movement_direction,movement_magnitude_label,outlook_movement_rank,trend_series_count,backtested_count,linear_beats_naive_count,beats_naive_share,mean_abs_slope_per_decade,mean_residual_std,diagnostic_quality_label,projection_fragility_label,fragility_rank,display_recommendation,caveat
AS,2030,capacity_flat,,84.9656,49.5753,-35.3903,narrowing,large,8,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,19,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2030,capacity_flat,,28.9709,22.7352,-6.2357,narrowing,moderate,71,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,80,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2030,capacity_flat,,10.4878,19.7365,9.2487,widening,moderate,62,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,75,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2030,capacity_flat,,58.355,40.5824,-17.7726,narrowing,large,31,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,31,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2030,capacity_flat,,19.8699,23.2725,3.4026,little_change,limited,84,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,58,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2030,capacity_flat,,31.0979,61.4167,30.3188,widening,large,14,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,22,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2030,capacity_flat,,65.9545,11.4167,-54.5378,narrowing,large,3,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,15,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2030,capacity_flat,,51.1209,38.4735,-12.6474,narrowing,moderate,46,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,43,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2030,capacity_flat,,12.7219,16.3277,3.6058,little_change,limited,82,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,56,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2030,capacity_flat,,88.9403,100.0,11.0597,widening,moderate,50,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,66,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2030,capacity_flat,,63.2479,79.1426,15.8947,widening,large,34,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,34,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
