geo_code_a,geo_code_b,jsd_distance,jsd_log_base,similarity_band,largest_component_difference,component_difference_summary,pairwise_convention,divergence_caveat
AS,CK,0.1863209011,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,FJ,0.3110490302,2,highly_different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,FM,0.2918871045,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,GU,0.0242015721,2,very_similar_profile,capacity,Largest normalized profile difference is capacity.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,KI,0.2960897289,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,MH,0.2945601181,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,MP,0.0104327905,2,very_similar_profile,capacity,Largest normalized profile difference is capacity.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,NC,0.2992134894,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,NR,0.092292971,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,NU,0.0145461694,2,very_similar_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,PF,0.3209116403,2,highly_different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,PG,0.3013646184,2,highly_different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,PN,0.0483696214,2,very_similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,PW,0.282865596,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,SB,0.291809895,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,TK,0.1958227749,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,TO,0.2928668272,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,TV,0.2805011128,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,VU,0.2949730871,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,WF,0.0168237063,2,very_similar_profile,rank_fragility,Largest normalized profile difference is rank_fragility.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
AS,WS,0.3070775777,2,highly_different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,FJ,0.1179633572,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,FM,0.1096044629,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,GU,0.1338565856,2,similar_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,KI,0.0923261274,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,MH,0.0946050777,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,MP,0.153640306,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,NC,0.1064377231,2,similar_profile,missing_data,Largest normalized profile difference is missing_data.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
CK,NR,0.2206468975,2,different_profile,monitoring_reporting_gap,Largest normalized profile difference is monitoring_reporting_gap.,unordered_geo_code_pairs,"Similarity means official-data profiles look alike under this method; it does not mean the places share the same vulnerability, lived experience, or policy need."
