geo_code,baseline_score,baseline_rank,scenario_count,scored_scenario_count,insufficient_scenario_count,scenario_rank_min,scenario_rank_max,rank_range,largest_rank_shift,weight_rank_range,leave_one_indicator_rank_range,worst_case_scenario,scenario_rank_summary,robustness_label,rank_caveat
PN,100.0,1,10,10,0,1,3,2,2,2,1,weight_pressure_heavy,baseline=1; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=1; drop_mean-sea-surface-temperature-anomalies=1; drop_mean-surface-temperature-anomalies=2; drop_meteorological-monitoring-network=1; drop_number-of-directly-affected-persons-attributed-to-disasters=2; drop_power-generation=1; drop_rainfall-anomalies=1; drop_sea-level-anomalies=1; weight_capacity_heavy=1; weight_pressure_heavy=3,sensitive,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
NR,88.9403,2,10,10,0,1,7,6,5,2,6,drop_number-of-directly-affected-persons-attributed-to-disasters,baseline=2; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=2; drop_mean-sea-surface-temperature-anomalies=2; drop_mean-surface-temperature-anomalies=1; drop_meteorological-monitoring-network=5; drop_number-of-directly-affected-persons-attributed-to-disasters=7; drop_power-generation=2; drop_rainfall-anomalies=3; drop_sea-level-anomalies=2; weight_capacity_heavy=4; weight_pressure_heavy=2,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
AS,84.9656,3,10,9,1,2,8,6,5,5,2,weight_pressure_heavy,baseline=3; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=insufficient_data; drop_mean-sea-surface-temperature-anomalies=3; drop_mean-surface-temperature-anomalies=3; drop_meteorological-monitoring-network=3; drop_number-of-directly-affected-persons-attributed-to-disasters=4; drop_power-generation=3; drop_rainfall-anomalies=2; drop_sea-level-anomalies=3; weight_capacity_heavy=3; weight_pressure_heavy=8,fragile,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking."
WF,82.5555,4,10,9,1,1,11,10,7,9,3,weight_pressure_heavy,baseline=4; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=insufficient_data; drop_mean-sea-surface-temperature-anomalies=4; drop_mean-surface-temperature-anomalies=4; drop_meteorological-monitoring-network=4; drop_number-of-directly-affected-persons-attributed-to-disasters=1; drop_power-generation=4; drop_rainfall-anomalies=4; drop_sea-level-anomalies=4; weight_capacity_heavy=2; weight_pressure_heavy=11,fragile,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking."
TV,77.7085,5,10,10,0,2,9,7,4,3,7,drop_number-of-directly-affected-persons-attributed-to-disasters,baseline=5; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=3; drop_mean-sea-surface-temperature-anomalies=5; drop_mean-surface-temperature-anomalies=5; drop_meteorological-monitoring-network=2; drop_number-of-directly-affected-persons-attributed-to-disasters=9; drop_power-generation=6; drop_rainfall-anomalies=5; drop_sea-level-anomalies=5; weight_capacity_heavy=7; weight_pressure_heavy=4,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
MH,65.9545,6,10,10,0,4,19,15,13,3,15,drop_number-of-directly-affected-persons-attributed-to-disasters,baseline=6; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=4; drop_mean-sea-surface-temperature-anomalies=7; drop_mean-surface-temperature-anomalies=6; drop_meteorological-monitoring-network=8; drop_number-of-directly-affected-persons-attributed-to-disasters=19; drop_power-generation=7; drop_rainfall-anomalies=6; drop_sea-level-anomalies=7; weight_capacity_heavy=9; weight_pressure_heavy=6,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
NU,63.2479,7,10,10,0,5,14,9,7,9,5,weight_pressure_heavy,baseline=7; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=6; drop_mean-sea-surface-temperature-anomalies=6; drop_mean-surface-temperature-anomalies=7; drop_meteorological-monitoring-network=7; drop_number-of-directly-affected-persons-attributed-to-disasters=5; drop_power-generation=9; drop_rainfall-anomalies=10; drop_sea-level-anomalies=8; weight_capacity_heavy=5; weight_pressure_heavy=14,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
PW,62.6435,8,10,10,0,5,13,8,5,3,8,drop_meteorological-monitoring-network,baseline=8; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=8; drop_mean-sea-surface-temperature-anomalies=8; drop_mean-surface-temperature-anomalies=8; drop_meteorological-monitoring-network=13; drop_number-of-directly-affected-persons-attributed-to-disasters=6; drop_power-generation=5; drop_rainfall-anomalies=7; drop_sea-level-anomalies=6; weight_capacity_heavy=10; weight_pressure_heavy=7,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
FM,58.355,9,10,10,0,5,12,7,4,7,5,weight_pressure_heavy,baseline=9; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=7; drop_mean-sea-surface-temperature-anomalies=11; drop_mean-surface-temperature-anomalies=10; drop_meteorological-monitoring-network=9; drop_number-of-directly-affected-persons-attributed-to-disasters=12; drop_power-generation=11; drop_rainfall-anomalies=8; drop_sea-level-anomalies=10; weight_capacity_heavy=12; weight_pressure_heavy=5,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
SB,58.0643,10,10,10,0,1,14,13,9,13,8,weight_pressure_heavy,baseline=10; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=5; drop_mean-sea-surface-temperature-anomalies=10; drop_mean-surface-temperature-anomalies=11; drop_meteorological-monitoring-network=11; drop_number-of-directly-affected-persons-attributed-to-disasters=13; drop_power-generation=10; drop_rainfall-anomalies=9; drop_sea-level-anomalies=9; weight_capacity_heavy=14; weight_pressure_heavy=1,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
TK,55.7364,11,10,10,0,6,18,12,7,12,7,weight_pressure_heavy,baseline=11; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=9; drop_mean-sea-surface-temperature-anomalies=9; drop_mean-surface-temperature-anomalies=9; drop_meteorological-monitoring-network=6; drop_number-of-directly-affected-persons-attributed-to-disasters=8; drop_power-generation=13; drop_rainfall-anomalies=11; drop_sea-level-anomalies=12; weight_capacity_heavy=6; weight_pressure_heavy=18,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
MP,51.1209,12,10,9,1,3,12,9,9,4,9,drop_number-of-directly-affected-persons-attributed-to-disasters,baseline=12; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=insufficient_data; drop_mean-sea-surface-temperature-anomalies=12; drop_mean-surface-temperature-anomalies=12; drop_meteorological-monitoring-network=10; drop_number-of-directly-affected-persons-attributed-to-disasters=3; drop_power-generation=12; drop_rainfall-anomalies=12; drop_sea-level-anomalies=11; weight_capacity_heavy=8; weight_pressure_heavy=12,fragile,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking."
VU,38.3856,13,10,10,0,10,17,7,4,7,5,weight_capacity_heavy,baseline=13; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=11; drop_mean-sea-surface-temperature-anomalies=15; drop_mean-surface-temperature-anomalies=15; drop_meteorological-monitoring-network=12; drop_number-of-directly-affected-persons-attributed-to-disasters=16; drop_power-generation=16; drop_rainfall-anomalies=13; drop_sea-level-anomalies=14; weight_capacity_heavy=17; weight_pressure_heavy=10,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
WS,36.974,14,10,10,0,13,16,3,2,1,3,drop_meteorological-monitoring-network,baseline=14; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=14; drop_mean-sea-surface-temperature-anomalies=13; drop_mean-surface-temperature-anomalies=13; drop_meteorological-monitoring-network=16; drop_number-of-directly-affected-persons-attributed-to-disasters=15; drop_power-generation=14; drop_rainfall-anomalies=14; drop_sea-level-anomalies=13; weight_capacity_heavy=13; weight_pressure_heavy=13,sensitive,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
KI,31.0979,15,10,10,0,10,22,12,7,1,12,drop_power-generation,baseline=15; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=10; drop_mean-sea-surface-temperature-anomalies=14; drop_mean-surface-temperature-anomalies=14; drop_meteorological-monitoring-network=14; drop_number-of-directly-affected-persons-attributed-to-disasters=20; drop_power-generation=22; drop_rainfall-anomalies=19; drop_sea-level-anomalies=17; weight_capacity_heavy=15; weight_pressure_heavy=16,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
CK,28.9709,16,10,10,0,11,21,10,5,10,7,drop_number-of-directly-affected-persons-attributed-to-disasters,baseline=16; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=13; drop_mean-sea-surface-temperature-anomalies=16; drop_mean-surface-temperature-anomalies=16; drop_meteorological-monitoring-network=17; drop_number-of-directly-affected-persons-attributed-to-disasters=11; drop_power-generation=18; drop_rainfall-anomalies=16; drop_sea-level-anomalies=18; weight_capacity_heavy=11; weight_pressure_heavy=21,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
TO,26.249,17,10,10,0,12,20,8,5,3,8,drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,baseline=17; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=12; drop_mean-sea-surface-temperature-anomalies=17; drop_mean-surface-temperature-anomalies=17; drop_meteorological-monitoring-network=15; drop_number-of-directly-affected-persons-attributed-to-disasters=14; drop_power-generation=20; drop_rainfall-anomalies=18; drop_sea-level-anomalies=16; weight_capacity_heavy=18; weight_pressure_heavy=15,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
PG,23.5272,18,10,10,0,9,21,12,9,12,5,weight_pressure_heavy,baseline=18; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=15; drop_mean-sea-surface-temperature-anomalies=18; drop_mean-surface-temperature-anomalies=18; drop_meteorological-monitoring-network=20; drop_number-of-directly-affected-persons-attributed-to-disasters=18; drop_power-generation=17; drop_rainfall-anomalies=17; drop_sea-level-anomalies=15; weight_capacity_heavy=21; weight_pressure_heavy=9,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
GU,19.8699,19,10,10,0,8,20,12,11,4,11,drop_power-generation,baseline=19; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=18; drop_mean-sea-surface-temperature-anomalies=19; drop_mean-surface-temperature-anomalies=19; drop_meteorological-monitoring-network=18; drop_number-of-directly-affected-persons-attributed-to-disasters=10; drop_power-generation=8; drop_rainfall-anomalies=15; drop_sea-level-anomalies=19; weight_capacity_heavy=16; weight_pressure_heavy=20,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
NC,12.7219,20,10,10,0,15,22,7,5,1,7,drop_power-generation,baseline=20; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=17; drop_mean-sea-surface-temperature-anomalies=20; drop_mean-surface-temperature-anomalies=20; drop_meteorological-monitoring-network=22; drop_number-of-directly-affected-persons-attributed-to-disasters=17; drop_power-generation=15; drop_rainfall-anomalies=21; drop_sea-level-anomalies=20; weight_capacity_heavy=20; weight_pressure_heavy=19,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
FJ,10.4878,21,10,10,0,16,22,6,5,5,6,drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,baseline=21; drop_fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements=16; drop_mean-sea-surface-temperature-anomalies=21; drop_mean-surface-temperature-anomalies=21; drop_meteorological-monitoring-network=19; drop_number-of-directly-affected-persons-attributed-to-disasters=22; drop_power-generation=19; drop_rainfall-anomalies=20; drop_sea-level-anomalies=21; weight_capacity_heavy=22; weight_pressure_heavy=17,fragile,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.
