analysis_lane,omitted_feature_id,feature_count,position_spearman,maximum_position_shift,mean_absolute_position_shift,sensitivity_status,stability_spearman_threshold,minimum_leave_one_spearman,ordering_decision,overall_ordering_decision,public_grouping_decision,cluster_labels_emitted,baseline_order,sensitivity_order,method,caveat
measured_condition,none_baseline,13,1.0,0,0.0,baseline,0.8,-0.6962,retain_exploratory_seriation,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,climate-altering-land-cover-index,12,0.7448,11,3.2727,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB GU PF NC FJ VU FM PW MH NR TV CK TO WS NU PN AS WF MP TK KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,12,-0.6962,20,10.6364,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,MH NR TV TO CK NU PN AS WF MP WS KI TK PF PG SB GU NC FJ VU FM PW,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,greenhouse-gas-emissions-per-capita,12,0.7007,12,3.8182,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB VU FJ NC GU PW FM MH NR CK TV TO WS PF WF AS PN NU MP TK KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,mean-sea-surface-temperature-anomalies,12,0.5133,14,4.4545,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PF VU FJ NC GU SB PG KI TK NR MP NU PN AS WF WS TV TO CK PW FM MH,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,mean-surface-temperature-anomalies,12,0.4466,20,4.9091,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,MH FM SB PG GU NC FJ VU PF KI WS PW TO CK TV NR WF AS PN NU MP TK,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,meteorological-monitoring-network,12,0.6793,12,4.0909,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB FM PW NC FJ VU GU MH NR TV CK TO WS PF WF PN AS NU MP TK KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,number-of-directly-affected-persons-attributed-to-disasters,12,0.8396,9,2.6364,stable_seriation,0.8,-0.6962,retain_exploratory_seriation,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PF GU NC FJ VU SB PG PW FM MP TK NR NU PN AS WF MH CK TV TO WS KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,population-growth,12,0.6217,20,3.0,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,MH PG SB FM VU FJ NC GU PW MP WF PN AS TK NU CK TV NR TO WS KI PF,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,power-generation,12,0.7753,12,2.4545,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB PW FM VU FJ NC GU MH MP WF AS PN NU WS TO CK TV NR TK PF KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,proportion-of-population-using-safely-managed-drinking-water-services,12,0.6985,12,3.6364,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,FM PW NC FJ VU SB PG GU MH NR TV AS PN NU WF CK TO MP PF WS KI TK,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,rainfall-anomalies,12,0.7222,11,3.7273,unstable_seriation,0.8,-0.6962,reject_stable_regional_structure,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB FM PW NC FJ VU GU MP TO CK NR TV MH TK NU WF PN AS PF WS KI,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,renewable-energy-share-in-the-total-final-energy-consumption,12,0.8012,9,3.0909,stable_seriation,0.8,-0.6962,retain_exploratory_seriation,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG FM SB VU FJ NC PW GU PF NR TV CK TO WS NU PN AS WF MP TK KI MH,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
measured_condition,sea-level-anomalies,12,0.8216,9,2.4545,stable_seriation,0.8,-0.6962,retain_exploratory_seriation,reject_stable_regional_structure,reject_public_grouping,False,PG SB GU NC FJ VU FM PW PF MP WF AS PN NU NR TV CK TO WS TK MH KI,PG SB GU NC FJ VU FM PW PF WS TO CK TV NR WF AS PN NU MP MH KI TK,average-linkage seriation over NaN-aware pairwise shared-feature RMS distance; no imputation,"Exploratory row ordering only; no natural groups, readiness classes, vulnerability types, or policy clusters are inferred."
