geo_code,geography_name,water_first_year,water_latest_year,water_change_percentage_points,renewable_first_year,renewable_latest_year,renewable_change_percentage_points,complete_overlap,quadrant,time_basis,source,caveat
AS,American Samoa,2000.0,2021.0,9.269999999999996,2000.0,2022.0,0.49,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
CK,Cook Islands,2000.0,2022.0,0.10999999999999943,2000.0,2022.0,-0.7599999999999998,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
FJ,Fiji,2000.0,2022.0,0.6700000000000017,2000.0,2022.0,-23.39,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
FM,Micronesia (Federated States of),2000.0,2020.0,-0.980000000000004,2000.0,2022.0,0.7799999999999998,True,water_down_renewable_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
GU,Guam,,,,2000.0,2022.0,6.109999999999999,False,missing_overlap,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
KI,Kiribati,2000.0,2022.0,14.799999999999997,2000.0,2022.0,-12.869999999999997,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
MH,Marshall Islands,2001.0,2022.0,-3.789999999999992,2000.0,2022.0,-7.890000000000001,True,both_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
MP,Northern Mariana Islands,2000.0,2022.0,8.61,2000.0,2022.0,0.69,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
NC,New Caledonia,2000.0,2022.0,9.829999999999998,2000.0,2022.0,2.0599999999999996,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
NR,Nauru,2000.0,2020.0,1.9200000000000017,2000.0,2022.0,1.75,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
NU,Niue,2000.0,2022.0,-2.2299999999999898,2000.0,2022.0,2.1999999999999997,True,water_down_renewable_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
PF,French Polynesia,2000.0,2022.0,-10.219999999999999,2000.0,2023.0,0.41999999999999993,True,water_down_renewable_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
PG,Papua New Guinea,2000.0,2022.0,18.490000000000002,2000.0,2022.0,-15.599999999999994,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
PN,Pitcairn,,,,,,,False,missing_overlap,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
PW,Palau,2000.0,2022.0,0.20999999999999375,2000.0,2022.0,0.58,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
SB,Solomon Islands,2000.0,2021.0,-11.230000000000004,2000.0,2022.0,-5.18,True,both_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
TK,Tokelau,,,,,,,False,missing_overlap,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
TO,Tonga,2000.0,2022.0,0.6700000000000017,2000.0,2022.0,-0.3999999999999999,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
TV,Tuvalu,2000.0,2022.0,0.45000000000000284,2000.0,2022.0,5.4799999999999995,True,both_up,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
VU,Vanuatu,2000.0,2022.0,7.960000000000008,2000.0,2022.0,-21.930000000000003,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
WF,Wallis and Futuna Islands,2000.0,2022.0,-0.27000000000001023,2000.0,2022.0,-0.5100000000000002,True,both_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
WS,Samoa,2000.0,2022.0,11.980000000000004,2000.0,2022.0,-27.939999999999998,True,water_up_renewable_down,first-to-latest returned percentage-point change within each indicator,Pacific Data Hub official SDMX rows,Descriptive cross-current only; endpoints and clocks differ and movement is not attributed to climate or policy causes.
