feature_order,feature_id,feature_label,feature_role,geography_count,total_geography_count,missing_geography_count,unit,denominator,latest_year_min,latest_year_max,minimum,p25,median,p75,maximum,time_basis,source,caveat,display_rule
1,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,adaptation_capacity,22,22,0,N,not supplied in processed official row,2026,2026,7.0,28.75,48.5,68.0,93.0,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,Partial proxy only; it does not establish preparedness or adaptation readiness.,Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
2,greenhouse-gas-emissions-per-capita,Greenhouse gas emissions per capita,responsibility_context,17,22,5,TON,population denominator implied by per-capita indicator; size not supplied,2024,2024,0.1,0.2,0.9,2.8,86.7,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Responsibility context only; it is not a blame, vulnerability, or score input.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
3,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,climate_signal,21,22,1,CELSIUS,not applicable; published anomaly measure,2025,2025,0.1,0.5,0.6,0.9,1.1,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Measured latest condition; descriptive, non-causal, and comparable within indicator.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
4,mean-surface-temperature-anomalies,Mean surface temperature anomalies,climate_signal,22,22,0,CELSIUS,not applicable; published anomaly measure,2025,2025,0.0,0.5,0.55,0.9,1.1,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Measured latest condition; descriptive, non-causal, and comparable within indicator.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
5,meteorological-monitoring-network,Meteorological monitoring network,adaptation_capacity,18,22,4,N,not supplied in processed official row,2026,2026,0.0,1.25,3.0,4.0,8.0,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,Partial proxy only; it does not establish preparedness or adaptation readiness.,Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
6,number-of-directly-affected-persons-attributed-to-disasters,Number of directly affected persons attributed to disasters,observed_stress,21,22,1,N,not supplied in processed official row,2007,2023,0.0,0.0,232.0,3297.0,52914.0,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Measured latest condition; descriptive, non-causal, and comparable within indicator.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
7,power-generation,Power generation,adaptation_capacity,18,22,4,GWH,not supplied in processed official row,2023,2023,1.8,47.4,86.75,522.525,3348.5,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,Partial proxy only; it does not establish preparedness or adaptation readiness.,Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
8,rainfall-anomalies,Rainfall anomalies,climate_signal,22,22,0,MM,not applicable; published anomaly measure,2025,2025,-41.8,-7.05,0.5,11.05,16.3,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Measured latest condition; descriptive, non-causal, and comparable within indicator.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
9,sea-level-anomalies,Sea level anomalies,climate_signal,21,22,1,METER,not applicable; published anomaly measure,2023,2023,0.1,0.1,0.1,0.1,0.2,latest returned indicator trace row; source years vary,Pacific Data Hub official SDMX rows,"Measured latest condition; descriptive, non-causal, and comparable within indicator.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
10,population-growth,Projected population growth,candidate_context,22,22,0,PERCENT,prior-period population implied by the published rate,2025,2025,-3.41,-0.66,0.43,0.8899999999999999,4.36,latest returned candidate row; source years vary,Pacific Data Hub official SDMX rows,"Published projection/estimated rate; not observed population change, population size, or climate vulnerability.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
11,renewable-energy-share-in-the-total-final-energy-consumption,Renewable energy share,candidate_context,20,22,2,PERCENT,total final energy consumption,2022,2023,0.49,2.0725,7.52,26.892500000000002,50.78,latest returned candidate row; source years vary,Pacific Data Hub official SDMX rows,"The share does not measure energy access, reliability, or adaptation capacity.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
12,proportion-of-population-using-safely-managed-drinking-water-services,Safely managed drinking water,candidate_context,19,22,3,PERCENT,population in the represented geography,2020,2022,50.24,83.435,91.34,98.92500000000001,100.0,latest returned candidate row; source years vary,Pacific Data Hub official SDMX rows,"This is essential-service context, not a climate-attribution measure.",Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
13,climate-altering-land-cover-index,Climate-altering land-cover index,candidate_context,22,22,0,PERCENT,not applicable to the published index,2022,2022,51.4,100.0,100.0,102.17500000000001,133.3,latest returned candidate row; source years vary,Pacific Data Hub official SDMX rows,The source direction and baseline need review before narrative interpretation.,Raw distribution summary; percentiles appear only in the condition heatmap for display/order and are never averaged into a score.
