lane,geo_code,geography_name,feature_order,feature_id,feature_label,feature_role,raw_value,display_value,unit,latest_year,time_basis,present,denominator,source_row_hash,source,caveat,order_position,ordering_method
evidence_visibility,PN,Pitcairn,1,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements,Fisheries management measures in place and multilateral and bilateral fisheries management arrangements,reporting_presence,1.0,100.0,binary reporting presence,,any baseline row represented in reviewed coverage table,True,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,2,greenhouse-gas-emissions-per-capita,Greenhouse gas emissions per capita,reporting_presence,0.0,0.0,binary reporting presence,,any baseline row represented in reviewed coverage table,False,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,3,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,reporting_presence,0.0,0.0,binary reporting presence,,any baseline row represented in reviewed coverage table,False,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,4,mean-surface-temperature-anomalies,Mean surface temperature anomalies,reporting_presence,1.0,100.0,binary reporting presence,,any baseline row represented in reviewed coverage table,True,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,5,meteorological-monitoring-network,Meteorological monitoring network,reporting_presence,1.0,100.0,binary reporting presence,2026.0,latest official monitoring reporting status,True,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence is a partial monitoring proxy, not preparedness.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,6,number-of-directly-affected-persons-attributed-to-disasters,Number of directly affected persons attributed to disasters,reporting_presence,0.0,0.0,binary reporting presence,,any baseline row represented in reviewed coverage table,False,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,7,power-generation,Power generation,reporting_presence,0.0,0.0,binary reporting presence,,any baseline row represented in reviewed coverage table,False,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,8,rainfall-anomalies,Rainfall anomalies,reporting_presence,1.0,100.0,binary reporting presence,,any baseline row represented in reviewed coverage table,True,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,9,sea-level-anomalies,Sea level anomalies,reporting_presence,0.0,0.0,binary reporting presence,,any baseline row represented in reviewed coverage table,False,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
evidence_visibility,PN,Pitcairn,10,population-growth,Projected population growth,reporting_presence,1.0,100.0,binary reporting presence,,"any returned row, 1990-2025",True,not applicable; binary reporting presence,not_applicable_aggregate_visibility,Pacific Data Hub official SDMX rows,"Reporting presence describes evidence visibility, not conditions.",1,evidence_visibility: average-linkage seriation over pairwise shared features; no imputation
