pair_id,variable_x,variable_x_label,variable_y,variable_y_label,spearman_rho,pairwise_n,minimum_pairwise_n,relationship_status,x_unit,y_unit,x_denominator,y_denominator,x_latest_year_min,x_latest_year_max,y_latest_year_min,y_latest_year_max,time_basis,circularity_flag,dependency_warning,source,caveat
adaptation_gap_score__climate_pressure_score,adaptation_gap_score,Adaptation gap score (derived),climate_pressure_score,Climate pressure score (derived),0.249,22,8,reported_with_dependency_warning,0-100 derived score,0-100 derived score,not applicable; derived comparative score,not applicable; derived comparative score,2007,2026,2007,2026,X: latest input rows; years vary; Y: latest pressure-input rows; years vary,True,Circular/derived dependency: one compared field contributes directly to the other; rho is not independent confirmation.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__capacity_score,adaptation_gap_score,Adaptation gap score (derived),capacity_score,Capacity proxy score (derived),-0.7414,22,8,reported_with_dependency_warning,0-100 derived score,0-100 derived score,not applicable; derived comparative score,not applicable; derived comparative score,2007,2026,2007,2026,X: latest input rows; years vary; Y: latest capacity-input rows; years vary,True,Circular/derived dependency: one compared field contributes directly to the other; rho is not independent confirmation.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__water_latest_share,adaptation_gap_score,Adaptation gap score (derived),water_latest_share,"Safely managed water, latest",0.1368,19,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,population in the represented geography,2007,2026,2020,2022,X: latest input rows; years vary; Y: latest returned 2020-2022,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__renewable_latest_share,adaptation_gap_score,Adaptation gap score (derived),renewable_latest_share,"Renewable energy share, latest",-0.5038,20,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,total final energy consumption,2007,2026,2022,2023,X: latest input rows; years vary; Y: latest returned 2022-2023,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__projected_population_growth_latest,adaptation_gap_score,Adaptation gap score (derived),projected_population_growth_latest,"Projected population growth, latest",-0.3134,22,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,prior-period population implied by the published rate,2007,2026,2025,2025,X: latest input rows; years vary; Y: latest published estimate/projection 2025,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__baseline_dataset_count,adaptation_gap_score,Adaptation gap score (derived),baseline_dataset_count,Baseline datasets represented,-0.3769,22,8,reported_descriptive,0-100 derived score,dataset count,not applicable; derived comparative score,not applicable; reviewed dataset count,2007,2026,1850,2026,X: latest input rows; years vary; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__monitoring_latest_count,adaptation_gap_score,Adaptation gap score (derived),monitoring_latest_count,"Monitoring proxy, latest count",-0.7927,18,8,reported_with_dependency_warning,0-100 derived score,reported count proxy,not applicable; derived comparative score,not supplied in processed official row,2007,2026,2026,2026,X: latest input rows; years vary; Y: latest returned monitoring row; missing rows remain missing,True,"Transitive derived-score lineage: monitoring latest count contributes to the capacity score, which contributes to the adaptation gap score; rho is not independent confirmation.",Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
adaptation_gap_score__direct_loss_reporting_presence,adaptation_gap_score,Adaptation gap score (derived),direct_loss_reporting_presence,Direct-loss reporting presence,-0.5036,22,8,reported_descriptive,0-100 derived score,binary reporting presence,not applicable; derived comparative score,not applicable; reporting-presence flag,2007,2026,2007,2020,"X: latest input rows; years vary; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__capacity_score,climate_pressure_score,Climate pressure score (derived),capacity_score,Capacity proxy score (derived),0.4274,22,8,reported_descriptive,0-100 derived score,0-100 derived score,not applicable; derived comparative score,not applicable; derived comparative score,2007,2026,2007,2026,X: latest pressure-input rows; years vary; Y: latest capacity-input rows; years vary,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__water_latest_share,climate_pressure_score,Climate pressure score (derived),water_latest_share,"Safely managed water, latest",-0.1789,19,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,population in the represented geography,2007,2026,2020,2022,X: latest pressure-input rows; years vary; Y: latest returned 2020-2022,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__renewable_latest_share,climate_pressure_score,Climate pressure score (derived),renewable_latest_share,"Renewable energy share, latest",0.2195,20,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,total final energy consumption,2007,2026,2022,2023,X: latest pressure-input rows; years vary; Y: latest returned 2022-2023,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__projected_population_growth_latest,climate_pressure_score,Climate pressure score (derived),projected_population_growth_latest,"Projected population growth, latest",0.1203,22,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,prior-period population implied by the published rate,2007,2026,2025,2025,X: latest pressure-input rows; years vary; Y: latest published estimate/projection 2025,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__baseline_dataset_count,climate_pressure_score,Climate pressure score (derived),baseline_dataset_count,Baseline datasets represented,0.5446,22,8,reported_descriptive,0-100 derived score,dataset count,not applicable; derived comparative score,not applicable; reviewed dataset count,2007,2026,1850,2026,X: latest pressure-input rows; years vary; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__monitoring_latest_count,climate_pressure_score,Climate pressure score (derived),monitoring_latest_count,"Monitoring proxy, latest count",0.1313,18,8,reported_descriptive,0-100 derived score,reported count proxy,not applicable; derived comparative score,not supplied in processed official row,2007,2026,2026,2026,X: latest pressure-input rows; years vary; Y: latest returned monitoring row; missing rows remain missing,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
climate_pressure_score__direct_loss_reporting_presence,climate_pressure_score,Climate pressure score (derived),direct_loss_reporting_presence,Direct-loss reporting presence,0.4604,22,8,reported_descriptive,0-100 derived score,binary reporting presence,not applicable; derived comparative score,not applicable; reporting-presence flag,2007,2026,2007,2020,"X: latest pressure-input rows; years vary; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
capacity_score__water_latest_share,capacity_score,Capacity proxy score (derived),water_latest_share,"Safely managed water, latest",-0.2737,19,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,population in the represented geography,2007,2026,2020,2022,X: latest capacity-input rows; years vary; Y: latest returned 2020-2022,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
capacity_score__renewable_latest_share,capacity_score,Capacity proxy score (derived),renewable_latest_share,"Renewable energy share, latest",0.6256,20,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,total final energy consumption,2007,2026,2022,2023,X: latest capacity-input rows; years vary; Y: latest returned 2022-2023,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
capacity_score__projected_population_growth_latest,capacity_score,Capacity proxy score (derived),projected_population_growth_latest,"Projected population growth, latest",0.4376,22,8,reported_descriptive,0-100 derived score,percent,not applicable; derived comparative score,prior-period population implied by the published rate,2007,2026,2025,2025,X: latest capacity-input rows; years vary; Y: latest published estimate/projection 2025,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
capacity_score__baseline_dataset_count,capacity_score,Capacity proxy score (derived),baseline_dataset_count,Baseline datasets represented,0.7269,22,8,reported_descriptive,0-100 derived score,dataset count,not applicable; derived comparative score,not applicable; reviewed dataset count,2007,2026,1850,2026,X: latest capacity-input rows; years vary; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
