geo_code,trend_series_count,linear_beats_naive_count,beats_naive_share,mean_abs_slope_per_decade,trend_confidence,max_flat_outlook_gap_score
AS,4,2,0.5,0.161442685,mixed,52.9927
CK,4,3,0.75,0.09055906250000001,stronger,30.0569
FJ,4,3,0.75,0.023703575,stronger,20.6898
FM,4,1,0.25,0.19264019,mixed,40.5824
GU,4,1,0.25,0.08378931249999999,mixed,23.9362
KI,4,1,0.25,0.29269172499999996,mixed,61.4167
MH,4,2,0.5,0.1333626775,mixed,15.8203
MP,4,1,0.25,0.021234585,mixed,42.2646
NC,4,2,0.5,0.18208732,mixed,16.3277
NR,4,3,0.75,0.2760398075,stronger,100.0
NU,4,2,0.5,0.2851117275,mixed,79.1426
PF,4,2,0.5,0.2094138925,mixed,13.3067
PG,4,0,0.0,0.1887682375,weak,3.0506
PN,2,0,0.0,0.6871575449999999,weak,68.4943
PW,4,0,0.0,0.28289728249999996,weak,41.0908
SB,4,1,0.25,0.32742450500000003,mixed,50.1907
TK,4,3,0.75,0.4795940325,stronger,74.0574
TO,4,3,0.75,0.2469607075,stronger,30.9305
TV,4,3,0.75,0.38980634500000005,stronger,72.1227
VU,4,3,0.75,0.09657411999999999,stronger,29.2059
WF,4,1,0.25,0.00811287,mixed,71.285
WS,4,2,0.5,0.1384493575,mixed,23.9052
