geo_code,dataset_count,row_count,first_year,last_year,datasets
AS,7,563,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies
CK,8,603,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
FJ,9,706,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
FM,9,667,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
GU,8,581,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
KI,9,660,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
MH,9,665,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
MP,7,536,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies
NC,9,673,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
NR,9,742,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
NU,8,657,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
PF,9,656,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
PG,9,673,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
PN,4,408,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-surface-temperature-anomalies meteorological-monitoring-network rainfall-anomalies
PW,9,647,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
SB,9,678,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
TK,8,518,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
TO,9,730,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
TV,9,721,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
VU,9,709,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
WF,6,480,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies number-of-directly-affected-persons-attributed-to-disasters rainfall-anomalies sea-level-anomalies
WS,9,734,1850,2026,fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies
