dataset_slug,dataset_name,pillar,story_role,indicator_code,geo_code,year,value,unit,obs_status,reporting_type,source_metadata,official_url,sdmx_csv_api_url,source_content_sha256,source_row_hash
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1992,100.3,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,4659b63175d35d29d1fba4209c62e476587e636f0506ceab930f8c6583320419
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1993,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,fae70dfb6a5ca50e31b52d35199276c8b3512a6c76efd960faac2c6bc7999494
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1994,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,998a5d5a4dd7642e9741c106778dac42c302c5e3b70c2186fc2e92884fa26aa5
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1995,99.6,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,e1a674ccdcd50e224ce29dc9ded71dc7daa0eda725d03e01173a1fcdf4fb9ee1
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1996,99.6,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,c82b5ca9093686b3fbd64e2029d6a662fcf58578157c181146180f6b3c028568
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1997,99.2,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,35770897f09364c04c3f2ca064bfa18eff65437dd00efc9da38e5c9912aae39d
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1998,99.2,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,c3dbb49eb739f9919828fc26bcd8b84b104e25045b95e90df3d81fc3baab7630
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,1999,100.3,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,662a760c10b09570ba43a2f592b2c49679529c65db5e6b6edb593524244df9d4
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2000,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,b66670e6a1d57cf314ab2ba3e82059220d218cbc5d55f96d5b41a6477a86a670
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2001,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,755635ec7b50de9dcce5a57c78cff76207d14bd412687052f57c4fe8c2c19e90
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2002,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,732cb2a488f5ce76ba49b7338a253205d9ccab818d8efc180e039e044ca1ca77
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2003,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,e9aa619f2853133f90ae06c4f1dcb5564a38d1895e4ac186309b225b7ca0a62a
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2004,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,00105c950ac1de32c5c0836fa1a26e8acdb2e0e97c2eb72b5fe2adc672793b6c
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2005,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,805544691f6b0f89957d415963042711ef5a241756ee23c1162aaf0fba19889f
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2006,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,f78cb5ec66d8e2f5992e2c499e8640abd18da13f57e245bbbaeb842d4d510bef
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2007,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,910a71ef59cb1d93d87809e2d66a432289165cc91e9430acc007c97c46a0c0e0
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2008,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,ad3af9af2e8b15f5697f03b04a4370ec5484e7a392c03e5863c663b599b89435
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2009,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,a949c1c3581f527dbd0d82ee145afdcc168521e614331c1e1909ff4baabba3d3
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2010,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,eeafde7b9b76d5064c41f8b7a60bf504747cf9323072c99f417f8d2fb1097be0
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2011,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,d68d8d5d581acc6736808f73904d672840abd52ddfce3e53b7271dc7218b4f29
