year,section,group,prize_or_type,category,title,submitter,country,url
2025,winner,Open,Interactive,Interactive,Paying the Heaviest of the Carbon Debt Never Incurred,Nur Adhyaksa Hamid,Indonesia,https://hnuradhyaksa.github.io/post/pacific-dataviz-2025
2025,winner,Open,Static,Static,Echoes of the unprotected sea,Eduardo España,Spain,https://pacificdatavizchallenge.org/sites/default/files/Echoes%20Pacific%20Data%20-%20Eduardo%20Espana.pdf
2025,winner,Pacific,Interactive,Interactive,Blue Paradigm,Eunice Rigo,Australia,https://blue-paradigm.org/
2025,winner,Pacific,Static,Static,when our waste suffocate the ocean,Sarah MOUNIAMA,New Caledonia,https://pacificdatavizchallenge.org/sites/default/files/Dataviz%20-%20MOUNIAMA%20Sarah%202025.pdf
2025,winner,Pacific,Highly Commended,Highly Commended,Visualising Digital Access Across the Blue Pacific,Crispin Laka,Solomon Islands,https://2025-dataviz-challenge-harptreem.replit.app/
2025,winner,Pacific Youth,Interactive,Interactive,The Silence of Mother Whale,Pélagie Sivitongo,New Caledonia,https://ninapolodesign.wixsite.com/pelagiedataviz
2025,winner,Pacific Youth,Static,Static,Education in the Pacific,Inès Reboul,New Caledonia,https://pacificdatavizchallenge.org/sites/default/files/REBOUL%20INES-DATAVIZCHALLENGE.pdf
2025,winner,Pacific Youth,Highly Commended,Highly Commended,Resource & Economic Development: Tourism in Fiji,Lusiana Boutu & Elia Komaitoga,Fiji,https://arcg.is/1yeju91
2024,winner,Interactive Dataviz,1st Prize,1st Prize,Women in the Pacific,Yan Holtz,France,https://holtzy.github.io/pacific-challenge/
2024,winner,Interactive Dataviz,2nd Prize,2nd Prize,Blooming: Exploring Poverty in the Pacific Region,Kristin Baumann,Germany,https://blooming-pacific.kristin-baumann.com/
2024,winner,Interactive Dataviz,3rd Prize,3rd Prize,A Tale of Two Futures: Gender Inequality in New Caledonia,Thalya Lim,United Kingdom,https://public.tableau.com/views/ATaleofTwoFuturesGenderInequalityinNewCaledonia/ATaleOfTwoFutures?:language=en-GB&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link
2024,winner,Static Dataviz,1st Prize,1st Prize,"Bruised petals, the frightening scars of violence against women",Alessia Musio,Italy,https://pacificdatavizchallenge.org/sites/default/files/Pacific_Dataviz_Challenge_2024_300_6.jpg
2024,winner,Static Dataviz,2nd Prize,2nd Prize,De l'enfance à la vieillesse,Estibaliz Legarreta Gallo,France,https://pacificdatavizchallenge.org/sites/default/files/De%20lenfance%20a%20la%20vieillesse_6.pdf
2024,winner,Static Dataviz,3rd Prize,3rd Prize,Trends in gender equality of the working population of Tonga,Ted du Bois,Netherlands,https://pacificdatavizchallenge.org/sites/default/files/Trends%20in%20gender%20equality%20of%20the%20working%20population%20of%20Tonga_TdB_2024_vers.6.4.5_1.3_6.pdf
2024,winner,Special,Youth,Youth,Fighting Cancer in New Caledonia: Gender gap,Eliott Libner,Canada,https://pacificdatavizchallenge.org/sites/default/files/LIBNER_Pacific_Dataviz_Challenge_2024_8.pdf
2024,winner,Special,Pacific,Pacific,"Briser le silence, libérer la parole",Fiona Umpa,New Caledonia,https://app.powerbi.com/view?r=eyJrIjoiMDQxMDc4YzEtNzMyYS00NzUxLWFjMTctZmI0M2NhNDUzNjc3IiwidCI6IjlmOTQ5MTYzLTU0ZjAtNDZiNS04OTM2LTY2YzhmNTUwNGQyYyIsImMiOjEwfQ%3D%3D
2023,winner,Interactive Dataviz,1st Prize,1st Prize,Food In Paradise,Ricardo Tranquilli Navarro,Spain,https://app.powerbi.com/view?r=eyJrIjoiNmYzYmE2MGItZWRlOS00MGQwLWI4ZjEtYTJhOWM0ZTNiOGJhIiwidCI6IjA3N2I3NjZiLTYxZjAtNGU3Yy05MzczLTkyODgzMmFhOWZlZiIsImMiOjh9
2023,winner,Interactive Dataviz,2nd Prize,2nd Prize,Carbs on the Coast,Qingyue Li,United States,https://public.tableau.com/app/profile/qingyue.li8346/viz/CarbsontheCoast/Dashboard2
2023,winner,Interactive Dataviz,3rd Prize,3rd Prize,"Inflation, a health risk in New Caledonia",Julien Ayral,France,https://app.powerbi.com/view?r=eyJrIjoiNzMzZTNhY2QtMzVmMC00MmIxLWE5MWYtM2U1Y2FiNWUxOWI5IiwidCI6ImVmODY2Y2IzLTVlZDktNDkwYy1hNzYxLTkwYzNkZGFlZTY0ZSIsImMiOjh9&pageName=ReportSection0810aec87a32558cd088
